title
綠嗆辭中廣卻仍擁股權　趙少康：郭台銘有鴻海股份、張忠謀也是
台北第5選區立委政見一次看！麻將除罪化、發4年10萬新冠補助都出現
郭台銘最後到底會挺誰？　沈富雄判斷：他不會露面
快訊／日本石川強震外交部捐逾1299萬元　衛福部5日起開賑災專戶
邀當選談閣揆遭柯文哲酸「失格」　趙少康：小眉小眼成不了大事
趙少康喊當選邀柯郭推薦閣揆　柯文哲批「失格」：為棄保做鋪陳
收到吹哨者資料！　吳崢踢爆張智倫每年2千萬「大規模綁樁買票」
新北市成兵家必爭之地！　2024選舉人數逾340萬居全台之首
柯文哲指藍造勢動員2千輛遊覽車　趙少康秒打臉：元旦根本沒造勢
批「賴清德要公布高端採購案」打假球　侯友宜籲下午就公佈
民進黨執政8年　蔡英文：我們做了三件改變台灣的事情
快訊／李正皓踢爆張智倫涉賄3鐵證　一年「贊助」民間社團逾2000萬
保障員警執勤安全！　林右昌：行政院核定25億添購裝備、建置設施
中共空飄氣球消失在中央山脈上空　今年已5顆飛越台灣本土
侯友宜赴北農攤商送鳳梨、搶拍照展人氣　承諾上任設科技化設備
社會安全網能補？王婉諭為居住正義　批柯賴侯不公不義
超狂「選舉公報」盤點！AV男優火鍋不加芋頭　他花20萬求婚
學者專家對談總統票怎麼投　建議青年多查、多問、多比較
羅致政衝調查局備案告到底　媒體下架、色情網站刪除深偽不雅片
快訊／土城萬人造勢　賴清德再問柯文哲「兩岸一家親」戶長是誰？
趙少康稱「賴清德未來恐鬥爭蔡英文」　侯康當選將討論阿扁特赦
快訊／賴清德嘆羅致政遭抹黑　「用民主力量粉碎造謠，好不好？」
賴蕭競選影片《在路上》被控抄襲　導演：這種呈現是世界第一次
侯友宜力挺割頸案家屬「反對廢死」！感嘆：太多罪犯假裝懺悔
「沒有人要下架、仇視、分化誰」　蕭美琴：國會沒過半恐浪費時間
史上最大選舉年！蔡英文：用選票告訴世界　繼續當「世界的台灣」
羅致政現身土城萬人造勢　高呼「創造民主歷史」
幕後／砲打藍綠擴大選民版圖　柯文哲5部曲走「中間路線」瞄準5種人
汐止造勢「上班時間封路」在地人狂罵被刪　賴品妤道歉：不好意思
汐止立委選情膠著　藍大於綠？上屆賴品妤險勝1.5%
面對威脅求人不如求己　漢翔董座胡開宏：新總統應堅持國防自主政策
分析／藍營差「臨門一腳」！侯友宜倒數10天回防新北5趟　陸戰成關鍵
桃市婦幼局、城鄉會首長宣誓　張善政：跨局處打造宜居之都
總統大選倒數10天！　選舉公報出爐：候選人政見、學經歷一次看
高雄男揚言「對市長砰砰」　陳其邁：能體諒但不允許暴力
「在路上」廣告掀熱議　蕭美琴：走對的路一定要有好的人開車
2024大選誰是「最強第三人」？　黃暐瀚：是蔡英文
「一個李全教各自表述」　時力諷白假反黑金：黃國昌昔痛批柯文哲今力挺
圖／柯文哲抵桃園！「小草」白紙寫心願「全家12票」　遇民眾嗆白賊
永康商圈理事長挺鐵漢總統候選人「反廢死」　楊植斗：苗博雅鐵粉已倒戈
陳時中開轟！高端合約封存30年「完全錯誤」　嗆造謠者立刻住手
新北第1選區／選戰倒數7天！洪孟楷明日合體侯友宜車掃
綠里長為挺侯發道歉信　柳采葳批民主開倒車：她透露出對黨的懼怕
賴清德承諾全力支持高雄捷運紫線　讚李柏毅推動交通、育兒工程
賴清德高雄輔選下動員令：總統開出百萬票　國會8席全壘打
何博文、李宇翔電動車隊拜票　師徒聯手盼113騎進國會
號召女力支持性別平權政黨　民進黨：讓厭女政治人物成為歷史灰燼
馬英九轟綠「貪污、濫權、愛財色」　籲：給教訓下台閉門思過
朱敬一曝好友改名移居故事　「台灣的未來走向才是決定選票抉擇關鍵」
侯康黃金周台南衝刺！馬英九轟綠「愛財色」：讓他退下來閉門思過
駁「突襲」賴清德萬里老家　新北市府：寄通知時還沒有任何代理人
快訊／軍公教退休金將調增！物價成長率達標　行政院：盼調幅不低於4%
新北市府稱萬里宅沒代理人　賴辦批謊話連篇：藏鏡人別再為難公務員
我堅決反對廢死！侯友宜提4主張防校園暴力　家長教師力挺修法
李柏毅遭控碩士論文涉抄襲　趙少康開嗆退選：還有資格選嗎？
直擊／韓國瑜魅力無法擋！　侯友宜台南造勢韓粉瘋喊「給我一個總統」
賴清德七度南下小英故鄉催票　拜託屏東鄉親讓徐富癸高票當選
韓媒證實「台親中立委」潛艦洩密　綠批藍「瞎挺」：馬文君還有臉參選
遭柯文哲抹紅　趙少康：我從不跟大陸官方聯絡
北市第6選區／喊大麻、性交易合法化　台大畢業的他超狂政見一次看
北市立委政見會！苗博雅猛攻「辯論會遭拒」　羅智強反批廢死經歷
侯友宜黃金周車隊掃街啟動！ 　六都巡迴拚輪替
快訊／選戰倒數8天！桃立委候選人馬治薇涉反滲透法　羈押禁見
選舉公報現「愛情騙子」打叉　劉建國躺著中槍：不成熟才這樣做
屏北選區國民兩黨短兵相接　蔣月惠打「公益選戰」求惠賜一票
蘇巧慧、石明謹站路口　秀4大政績「體育從基層紮根」力拚留國會
柯文哲酸國民黨造勢完「3000支國旗亂丟」　民眾黨撿來再利用
侯辦質疑公益信託進度　賴辦「持續進行中」：反觀又昱公司資產沒公布
新北第6選區「林國春、張宏陸隔空槓上」　3候選人政見曝光！
抓到網軍！發文稱賴清德家掛畫破百萬　20分鐘換3組IP移動破200KM
羅明才狂言得15萬票就選新北市長　民進黨：政治分贓醜陋戲碼
新北第4區／吳秉叡催票「賴蕭晚會邀陳其邁應戰」、蔣欣璋喊輪替：8年執政失敗
金溥聰大怒！轟綠帶頭侵權敗壞選風　嗆：民進黨違法廣告誰敢播？
郭董鐵粉移情別戀？　恬娃臉書發文支持綠營許淑華
洪佳君「社宅租金轉買房頭款」　黃帝穎：炒房炒地新手法？
