title
黃國昌黃珊珊誰能搶下副院長　戰神齊聚立院夾殺賴清德
「要朱立倫辭黨主席很無聊」　李艷秋：未來重頭戲在立法院
2024桃園立委選戰大獲全勝　地方喻他是政壇崛起「桃園王」
新科立委最年輕僅30歲！　她一家三代都是立委
陳建仁今總辭「蔡總統慰留」看守至520　藍營酸：政府淪空轉
吳欣盈自曝開票之夜想哭　坦言「藍白不合難贏」
1前提喊話「質疑作票是人民言論自由」　陳沂302字解析
寧夏夜市比科目三　蔣萬安：一首歌若能「舞統」，台灣早統一對岸
年輕人疏離藍營　他直呼「國民黨從來不親中」：標籤是別人貼的
賴清德可單獨任命閣揆　學者：少數政府不是國際特例，小黨來去很快
許淑華談民進黨「年輕選票流失」：禁抖音不是辦法　年輕人都在用
賴清德感恩餐會幽默自嘲　贏蔡英文全因「副總統比妳的好」
共軍晚間擾台　11架次共機2小時內進入我北、中、西南空域
蔡英文出席內科晚會　喊話「公司有賺錢，幫員工加薪多發年終」
20逾年不敗女神落馬！蘇治芬爆「有人用3000元買總統政黨立委票」
蘇治芬控買票「就在我選區」：我們是輸在虎尾
「不是所有年輕人都支持你」　他駁柯文哲指民調失準因年輕人投票率低
駐台使節夫人體驗「台式主婦」　大讚南門市場「每周都想來」
因應國會新民意　陳建仁18日院會率內閣總辭
桃園市警察局長交接　張善政：期勉新首長讓治安更上層樓
高嘉瑜瘦到46.3KG　落選喊：失之東隅收之桑榆
歐18國發聯合聲明譴責中國對台恐嚇　外交部表感謝：不畏打壓
桃園藍營6席立委全壘打　張善政：攜手推動五楊高架延伸至頭份
賴清德退新潮流　國民黨質疑：2006年派系不就已經解散？
賴清德退出新潮流　前藍黨工：應宣布不任用新系人馬入閣
學習更直接與年輕世代溝通　許立明：「後太陽花世代」是下階段重點
柯建銘沙盤推演新國會龍頭之爭　估「民眾黨自提人選保送韓國瑜」
高端合約選後大公開　賴士葆諷：遲來的「不公不義」
柯文哲「別把民進黨新潮流劃等號」鋪路綠白合？　柯建銘：聽聽就好
黃國昌喊「改革比位置重要」　郭正亮：代表不跟藍綠合作投給自己
快訊／扛下重任拼一年　民進黨秘書長許立明請辭獲准
籲國民黨改革要偏向社會主義　趙少康：才能吸引年輕人、弱勢群眾
賴清德退新潮流！黃國昌酸虛晃一招　建議就職後「別兼任黨主席」
賴清德退新潮流　鄭文燦：總統本來就應該超越派系
以訟止謗！選後作票傳聞不斷　中選會提告：請勿再散佈作票謠言
賴清德退新潮流　柯辦酸「政治假動作」：此地無銀三百兩
籲在野集中力量　趙少康喊話民眾黨：放下大選過程中的小恩小怨
王鴻薇爆李進勇「把手伸進北市選委會」　尚未詢問蔣萬安就放話
「不過半跟五席一樣」　趙少康要國民黨多讓民眾黨
抖音瘋傳「作票」造假影片　綠委籲加強管理：無法改善就修法禁止
公開高端合約　蔣萬安酸「沒拆彈完成」：打開另一個潘朵拉盒子
黃捷加入湧言會運作　許智傑：不論什麼派系都會一起為人民努力
回應韓國瑜「禮讓副院長」條件　柯文哲：民眾黨不會成為內鬥工具
基隆小五學童選前之夜失蹤！戴立安：跑去參加柯文哲造勢晚會
陳佩琪曝柯文哲「落敗關鍵」　強調民調無造假：再強也被拖垮
「大象轉身不容易！」 　侯友宜喊：國民黨已在改革路上
藍：韓國瑜拋「雙進雙出」算施壓傅崐萁　但無假投票恐更傷黨內和諧
選後放飛自我！　蔡培慧頂新髮型「爆炸美麗」亮相嚇到黨內同仁
立院副院長開放「假投票」？　朱立倫：製造謠言、破壞團結
大選結束體現民主價值　外交部：106國、近1400名政要表達祝賀
王世堅也脆了！　自稱「恰吉」幽默喊：始祖柯黑回來了
好運貓貓降臨！蔡英文拉蔡想想祝福學測考生　網友喊：轉發能換貓？
快訊／郭台銘低調返台！　今現身板橋慈惠宮參與神明安座儀式
游錫堃談立院龍頭「任何組合都可能」　原要退休「黨需要我就盡力」
傅崐萁有意爭立法院長？　媒體人：朱立倫想奪回主導權的戲
中選會致送當選證書　賴清德笑稱：我和蕭美琴找到工作了
立院龍頭之爭　蔡其昌配合黨團運作：立法院位置非現階段該考量
韓國瑜拋「韓江配」一舉三效　黃暐瀚：自信、互補、逼表態
「韓江配」是化被動為主動的高招　邱毅：不再受朱立倫掣肘
讚「韓江配」是絕妙好牌！　學者：能震懾民進黨、反制民眾黨
叫板江啟臣？　傅崐萁：他2年後可能選台中市長怎兼顧副院長
立院龍頭之爭　游錫堃經驗談：推舉人選應考慮未來國會外交重要性
「白綠合」也不排斥？　游錫堃：小黨擔任議長是民主政治的常態
快訊／中選會正式公告！　2024大選正副總統當選人賴清德、蕭美琴
藍營總統大選連三輸　羅旺哲曝主因：九二共識的兩岸政策立場尷尬
即戰力！為新科藍委辦「戰鬥營」　趙少康曝找徐巧芯分享空戰
韓國瑜沒選上立法院長就辭不分區？ 　韓辦：完全無此事
稱柯文哲成「哥吉拉」　游盈隆：藉藍綠惡鬥變「民粹強人」
高端價格惹議　陳建仁：莫德納、Novavax、BNT價格都遠超高端
調查局成立「認知戰研究中心」　陳建仁：一定保障言論自由
賴清德退出新潮流　羅智強酸：裝模作樣不會讓濁流變清流
國民黨認「南部輸太多」遭基層不滿　侯友宜：敗選原因是自己
時力「備戰2026」不排除與他黨合作　王婉諭：但絕不為利益分贓結合
台積電評估高雄蓋第三座2奈米廠　陳其邁掛保證：水電供應沒問題！
轉機？時力收數千筆募款「破2百入黨申請」　3原因含「黃國昌退黨」
曝年輕選票遠離國民黨　柯志恩指1原因：為鞏固基本盤而走回老路
韓國瑜、江啟臣角逐國會正副龍頭　侯友宜盼發揮民主制衡力量
彰化女力傳奇延續！　縣長、立委、藍白主委到司法首長...全都女性
悼念已故參謀總長劉和謙　國防部23日在台北一殯舉辦公祭奠禮
紅線太多引民怨！　北市擬放寬特定地點路段「改黃線」
批監察院「非常可悲」　黃國昌轟：監委平均一個月調查不到一案
國會「八大家族」曝光！榜首出了6位立委　吳欣盈也入榜
韓國瑜先出手爭立院龍頭！傳「爭議立委」想當副　防黨分裂內幕曝
立院龍頭之戰傳民眾黨將自推人選　綠營：等於保送韓國瑜
黃國昌拒當副院長！簽承諾書「只當2年立委」　未來可能參選縣市長
國會龍頭改選　卓榮泰：賴清德未指派我做任何工作
中選會：5縣市部分開票所政黨票數誤植　已更正不影響席次
王必勝連日開戰蔣萬安　北市府嗆賴清德「縱容中央檢討地方？」
陸生2月1日納健保　陸委會：已完成造冊「待遇跟所有境外生一致」
賴清德退流「路更寬」！黃暐瀚曝4位可能閣揆人選　地下院長恐出局
陸稱「抓獲一批台灣間諜」　陸委會：扣個帽子就可以說是間諜
立院龍頭要挺誰　柯文哲晚間回應：我們已提出想法
藍「韓江配」對白釋善意　黃國昌給軟釘子：謝謝國民黨跟韓國瑜好意
基隆避免校園霸凌暴力事件　謝國樑：將啟動長期輔導機制
從「關鍵少數」變空氣？　媒體人：立院龍頭這局民眾黨輸了
藍營「韓江配」爭立院龍頭　綠委酸：民眾黨可決定立院是否下午開會
柯文哲21日起「阿北森友會」謝票開跑　記得帶環保杯「敬你一杯」
賴清德退出新潮流　謝龍介批：自欺欺人！其實是為派系運作
找江啟臣選立院正副院長　他分析韓國瑜5考量：有其脈絡可循
立院龍頭再叫牌！民進黨堅持「游昌配」　尊重國民黨提「韓江配」
立法院長選舉成「藍白合2.0」　媒體人讚韓國瑜：真的挺有料的
立院龍頭之爭！民眾黨不甩韓國瑜　喊：不會私下利益交換
韓國瑜找江啟臣搭檔角逐立院龍頭！　藍委多支持、部分持保留態度
當過黨主席、今與韓國瑜搭檔選立院正副院長　江啟臣從政經歷一次看
快訊／證實與韓國瑜搭檔爭立法正副龍頭　江啟臣：優先禮讓民眾黨
立院龍頭之戰　柯文哲重提民眾黨4要求：希望藍綠能正面回應
柯文哲領1.1億補助款用途曝光！　政黨營運、走訪地方、公益使用
快訊／韓國瑜要拚立法院長！　搭檔找來江啟臣
總統大選後獲1.4億補助款　侯友宜：全捐國民黨盼顧弱勢及青年
王婉諭認2024「創黨後最大挫敗」　時力將全台巡迴「聆聽人民聲音」
國民黨選後感恩茶會明新北啟動！　侯友宜：一定出席好好謝謝大家
喊話賴清德「以民為天、國家第一」　侯友宜：不要顏色團結台灣
蔡英文慰留陳建仁帶領看守內閣　穩定政局、穩健交接
黃國昌開嗆林秉文又點名鄭文燦　他反擊：真的是太扯了
造謠作票25案移送檢調偵辦！包含愛莉莎莎？　中選會：不便說明
選舉期間抓到破萬「協同帳號」　人工智慧實驗室：300萬人受影響
台電爆虧損近2000億！今年漲電價？　行政院：尊重專業決定
分析7選區柯粉票流向　黃揚明：「柯黑」還是「友柯」屬性差很大
陳亭妃立委五連霸　捐出近4百萬選舉補助款關懷弱勢及偏鄉
「陳內閣」轉看守內閣　行政院：持續推動各項福國利民政策
細看投票結果　他揪4怪異點！彰化這里「民進黨0票、國民黨1票」
傳民眾黨發「小草證」？　綠議員曬合照：小草我2014就做過了
賴清德退新潮流！　趙少康：弱勢總統還有什麼派系？
內閣總辭獲慰留將看守到520　陳建仁：繼續點燃自己、照亮台灣
2024大選落幕　陳建仁指示中選會：加強辦理假訊息澄清舉報
4年22警輕生「心理諮商覆蓋率不到1成」　監察院列警政署7大問題
朱立倫不請辭黨主席　趙少康：再不改革兩年任期就浪費了
柯文哲敗選喊「投票率低」　黃暐瀚：4年後80萬首投族全投也不會贏
下一站挑戰2026台北市長？　高嘉瑜自嘲要重新做人：繼續在港湖深耕
傅崐萁回應民眾黨團4承諾　拋5點：建立正副院長違反議事中立罰則
張善政開箱市府「智慧餐廳」體驗AI估價　自爆吃1食物老婆會唸
姊讀台大哈佛現在還不是失業中！　謝佩芬「脆上」激勵學測生
國會龍頭「白綠合」？　游錫堃指不重要：執政結盟才能穩定政局
「1200文化幣」常態化！　陳建仁鼓勵青年踴躍領用
送整隻雞！郭昭巖募集破百萬物資　寒冬送暖照顧中正萬華居民
潘姓士官墜斷崖無生命跡象　航特部不捨：全力協助家屬處理後事
最強寒流來襲！北市可放低溫假　蔣萬安：循例視狀況辦理
幕後／藍選舉南部大敗傳多位黨部主委請辭　黃昭順選完就北上找朱立倫
11歲「小草」失聯竟是參加柯文哲選前造勢　民眾黨駁：不實造謠
黃國昌將在板橋設服務處　被問佈局2026喊「太早了」
「國民黨最大變數是自己」　黃揚明：跑掉2票以上就是游錫堃當選
柯文哲傳因敗選陷「否定期」　黃國昌笑：怎麼會？他非常、非常忙
立院龍頭民眾黨怎出招？　黃國昌：藍綠盡快回覆四大訴求
分析／貫徹黨內民主、黨團自主！　國民黨立院正副院長人選應假投票
傅崐萁稱「選台中市長無法兼顧副院長」　江啟臣：不要一天到晚講選舉
「國民黨從來沒有親中」　朱立倫：不要因希望兩岸和平而被扭曲
認柯文哲成競選障礙　蔡壁如嘆：面紙文宣一包都發不出去
假投票決定立院正副院長人選？　朱立倫：尊重黨團自主
國會龍頭之爭傳綠營有3劇本　綠委：有機會重演高雄市議長選舉模式
小五生赴造勢晚會鬧失蹤！明午小草會　柯文哲喊話：先向父母報備
總統選舉特勤維安今24時止　賴蕭已轉「當選人安維編組」
支持您！李四川指「1特點」像韓國瑜　疑挺韓入主國會龍頭
